Best Score: 0.07475943745373798
Best Individual: Individual('d', [2.0, 0.7698386546299073, 2.0, 132.0436431045565, 132.0436431045565, 5.0])

History: 
gen	evals	min      	max      	avg        	std        
0  	100  	0        	0        	0          	0          
1  	100  	0        	0        	0          	0          
2  	102  	0        	0        	0          	0          
3  	102  	0        	0        	0          	0          
4  	104  	0        	0        	0          	0          
5  	106  	0        	0        	0          	0          
6  	108  	0        	0        	0          	0          
7  	110  	0        	0        	0          	0          
8  	112  	0        	0        	0          	0          
9  	116  	0        	0        	0          	0          
10 	116  	0        	0        	0          	0          
11 	116  	0        	0        	0          	0          
12 	116  	0        	0        	0          	0          
13 	118  	0        	0        	0          	0          
14 	120  	0        	0        	0          	0          
15 	120  	0        	0        	0          	0          
16 	122  	0        	0        	0          	0          
17 	124  	0        	0        	0          	0          
18 	124  	0        	0        	0          	0          
19 	128  	0        	0        	0          	0          
20 	130  	0        	0        	0          	0          
21 	130  	0        	0        	0          	0          
22 	132  	0        	0        	0          	0          
23 	134  	0        	0        	0          	0          
24 	138  	0        	0        	0          	0          
25 	142  	0        	0        	0          	0          
26 	144  	0        	0        	0          	0          
27 	146  	0        	0        	0          	0          
28 	146  	0        	0        	0          	0          
29 	150  	0        	0        	0          	0          
30 	154  	0        	0        	0          	0          
31 	158  	0        	0        	0          	0          
32 	162  	0        	0        	0          	0          
33 	164  	0        	0        	0          	0          
34 	166  	0        	0        	0          	0          
35 	166  	0        	0        	0          	0          
36 	168  	0        	0        	0          	0          
37 	170  	0        	0        	0          	0          
38 	172  	0        	0        	0          	0          
39 	172  	0        	0        	0          	0          
40 	172  	0        	0        	0          	0          
41 	172  	0        	0        	0          	0          
42 	174  	0        	0        	0          	0          
43 	174  	0        	0        	0          	0          
44 	176  	0        	0        	0          	0          
45 	176  	0        	0        	0          	0          
46 	176  	0        	0        	0          	0          
47 	176  	0        	0        	0          	0          
48 	176  	0        	0        	0          	0          
49 	178  	0        	0        	0          	0          
50 	180  	0        	0        	0          	0          
51 	180  	0        	0        	0          	0          
52 	182  	0        	0        	0          	0          
53 	182  	0        	0        	0          	0          
54 	184  	0        	0        	0          	0          
55 	186  	0        	0        	0          	0          
56 	186  	0        	0        	0          	0          
57 	188  	0        	0        	0          	0          
58 	190  	0        	0        	0          	0          
59 	192  	0        	0        	0          	0          
60 	193  	0        	0        	0          	0          
61 	197  	0        	0        	0          	0          
62 	199  	0        	0        	0          	0          
63 	202  	0        	0        	0          	0          
64 	202  	0        	0        	0          	0          
65 	204  	0        	0        	0          	0          
66 	208  	0        	0        	0          	0          
67 	210  	0        	0        	0          	0          
68 	210  	0        	0        	0          	0          
69 	214  	0        	0        	0          	0          
70 	214  	0        	0        	0          	0          
71 	218  	0        	0        	0          	0          
72 	220  	0        	0        	0          	0          
73 	220  	0        	0        	0          	0          
74 	222  	0        	0        	0          	0          
75 	226  	0        	0        	0          	0          
76 	228  	0        	0        	0          	0          
77 	228  	0        	0        	0          	0          
78 	232  	0        	0        	0          	0          
79 	236  	0        	0        	0          	0          
80 	238  	0        	0        	0          	0          
81 	240  	0        	0        	0          	0          
82 	240  	0        	0        	0          	0          
83 	240  	0        	0        	0          	0          
84 	242  	0        	0        	0          	0          
85 	244  	0        	0        	0          	0          
86 	246  	0        	0        	0          	0          
87 	248  	0        	0        	0          	0          
88 	248  	0        	0        	0          	0          
89 	250  	0        	0        	0          	0          
90 	252  	0        	0        	0          	0          
91 	254  	0        	0        	0          	0          
92 	254  	0        	0        	0          	0          
93 	258  	0        	0        	0          	0          
94 	260  	0        	0        	0          	0          
95 	260  	0        	0        	0          	0          
96 	262  	0        	0        	0          	0          
97 	262  	0        	0        	0          	0          
98 	264  	0        	0        	0          	0          
99 	266  	0        	0        	0          	0          
100	267  	0        	0        	0          	0          
101	269  	0        	0        	0          	0          
102	271  	0        	0        	0          	0          
103	275  	0        	0        	0          	0          
104	275  	0        	0        	0          	0          
105	279  	0        	0        	0          	0          
106	279  	0        	0        	0          	0          
107	281  	0        	0        	0          	0          
108	283  	0        	0        	0          	0          
109	287  	0        	0        	0          	0          
110	289  	0        	0        	0          	0          
111	293  	0        	0        	0          	0          
112	297  	0        	0        	0          	0          
113	297  	0        	0        	0          	0          
114	297  	0        	0        	0          	0          
115	299  	0        	0        	0          	0          
116	301  	0        	0        	0          	0          
117	303  	0        	0        	0          	0          
118	305  	0        	0        	0          	0          
119	305  	0        	0        	0          	0          
120	307  	0        	0        	0          	0          
121	307  	0        	0        	0          	0          
122	309  	0        	0        	0          	0          
123	309  	0        	0        	0          	0          
124	313  	0        	0        	0          	0          
125	314  	0        	0        	0          	0          
126	318  	0        	0        	0          	0          
127	318  	0        	0        	0          	0          
128	320  	0        	0        	0          	0          
129	322  	0        	0        	0          	0          
130	324  	0        	0        	0          	0          
131	328  	0        	0        	0          	0          
132	328  	0        	0        	0          	0          
133	332  	0        	0        	0          	0          
134	332  	0        	0        	0          	0          
135	332  	0        	0        	0          	0          
136	332  	0        	0        	0          	0          
137	332  	0        	0        	0          	0          
138	332  	0        	0        	0          	0          
139	334  	0        	0        	0          	0          
140	334  	0        	0        	0          	0          
141	334  	0        	0        	0          	0          
142	336  	0        	0.037037 	0.000740741	0.00518519 
143	336  	0        	0.037037 	0.000740741	0.00518519 
144	338  	0        	0.037037 	0.00148148 	0.00725775 
145	338  	0        	0.037037 	0.00222222 	0.00879581 
146	338  	0        	0.037037 	0.00222222 	0.00879581 
147	338  	0        	0.037037 	0.00222222 	0.00879581 
148	340  	0        	0.037037 	0.00333333 	0.0105993  
149	342  	0        	0.037037 	0.00407407 	0.0115885  
150	342  	0        	0.037037 	0.00407407 	0.0115885  
151	344  	0        	0.037037 	0.00518519 	0.0128514  
152	344  	0        	0.037037 	0.00518519 	0.0128514  
153	346  	0        	0.037037 	0.0062963  	0.0139123  
154	346  	0        	0.037037 	0.00666667 	0.0142292  
155	348  	0        	0.037037 	0.00777778 	0.0150855  
156	352  	0        	0.037037 	0.00888889 	0.0158179  
157	354  	0        	0.037037 	0.00962963 	0.0162457  
158	356  	0        	0.037037 	0.0107407  	0.016806   
159	356  	0        	0.037037 	0.0114815  	0.0171294  
160	359  	0        	0.037037 	0.0122222  	0.0174153  
161	362  	0        	0.037037 	0.012963   	0.0176655  
162	362  	0        	0.037037 	0.0137037  	0.0178816  
163	362  	0        	0.037037 	0.0137037  	0.0178816  
164	366  	0        	0.037037 	0.0148148  	0.0181444  
165	366  	0        	0.037037 	0.0148148  	0.0181444  
166	370  	0        	0.037037 	0.0153176  	0.0180751  
167	372  	0        	0.037037 	0.0160584  	0.0181907  
168	374  	0        	0.037037 	0.0167991  	0.0182756  
169	376  	0        	0.037037 	0.0175399  	0.0183302  
170	378  	0        	0.037037 	0.0182806  	0.0183548  
171	380  	0        	0.037037 	0.0190213  	0.0183494  
172	382  	0        	0.037037 	0.0197572  	0.0183095  
173	384  	0        	0.037037 	0.0204979  	0.0182443  
174	386  	0        	0.037037 	0.0212387  	0.0181487  
175	390  	0        	0.037037 	0.0219794  	0.0180221  
176	392  	0        	0.037037 	0.0227201  	0.0178639  
177	392  	0        	0.037037 	0.0230905  	0.0177727  
178	392  	0        	0.037037 	0.0230905  	0.0177727  
179	394  	0        	0.037037 	0.0234609  	0.0176733  
180	396  	0        	0.037037 	0.0242016  	0.0174492  
181	400  	0        	0.037037 	0.0249424  	0.0171903  
182	402  	0        	0.037037 	0.0256831  	0.016895   
183	402  	0        	0.037037 	0.0264238  	0.0165614  
184	404  	0        	0.037037 	0.0271646  	0.016187   
185	404  	0        	0.037037 	0.0279053  	0.015769   
186	406  	0        	0.037037 	0.0286461  	0.0153038  
187	408  	0        	0.037037 	0.0293868  	0.0147869  
188	408  	0        	0.037037 	0.0301275  	0.0142128  
189	412  	0        	0.037037 	0.0301275  	0.0139694  
190	414  	0        	0.037037 	0.0304979  	0.0136532  
191	414  	0        	0.037037 	0.0304979  	0.0136532  
192	416  	0        	0.037037 	0.0308683  	0.0133191  
193	418  	0        	0.037037 	0.0312387  	0.0129658  
194	418  	0        	0.037037 	0.031609   	0.0125918  
195	420  	0        	0.037037 	0.0319794  	0.0121951  
196	422  	0        	0.037037 	0.0323498  	0.0117733  
197	424  	0        	0.037037 	0.0327201  	0.0113238  
198	424  	0        	0.037037 	0.0327201  	0.0113238  
199	426  	0        	0.037037 	0.0330905  	0.0108431  
200	427  	0        	0.037037 	0.0330905  	0.0108431  
201	429  	0        	0.037037 	0.0330905  	0.0108431  
202	429  	0        	0.037037 	0.0330905  	0.0108431  
203	429  	0        	0.037037 	0.0334609  	0.0103267  
204	431  	0        	0.037037 	0.0338312  	0.00976909 
205	433  	0        	0.037037 	0.0342016  	0.0091627  
206	435  	0        	0.037037 	0.034572   	0.00849711 
207	437  	0        	0.037037 	0.034572   	0.00849711 
208	439  	0        	0.037037 	0.034572   	0.00849711 
209	441  	0        	0.037037 	0.034572   	0.00849711 
210	445  	0        	0.037037 	0.034572   	0.00849711 
211	447  	0        	0.037037 	0.0349424  	0.00775708 
212	447  	0        	0.037037 	0.0353127  	0.00691876 
213	451  	0        	0.037037 	0.0356831  	0.0059407  
214	451  	0        	0.037037 	0.0356831  	0.0059407  
215	453  	0.0185185	0.037037 	0.0364238  	0.00305192 
216	457  	0.025141 	0.037037 	0.0367942  	0.00166509 
217	461  	0.0367918	0.037037 	0.0370321  	3.4339e-05 
218	463  	0.037037 	0.037037 	0.037037   	6.93889e-18
219	465  	0.037037 	0.037037 	0.037037   	6.93889e-18
220	465  	0.037037 	0.037037 	0.037037   	6.93889e-18
221	465  	0.037037 	0.037037 	0.037037   	6.93889e-18
222	469  	0.037037 	0.037037 	0.037037   	6.93889e-18
223	469  	0.037037 	0.037037 	0.037037   	6.93889e-18
224	471  	0.037037 	0.037037 	0.037037   	6.93889e-18
225	473  	0.037037 	0.037037 	0.037037   	6.93889e-18
226	473  	0.037037 	0.037037 	0.037037   	6.93889e-18
227	475  	0.037037 	0.037037 	0.037037   	6.93889e-18
228	478  	0.037037 	0.037037 	0.037037   	6.93889e-18
229	480  	0.037037 	0.037037 	0.037037   	6.93889e-18
230	482  	0.037037 	0.037037 	0.037037   	6.93889e-18
231	484  	0.037037 	0.037037 	0.037037   	6.93889e-18
232	484  	0.037037 	0.037037 	0.037037   	6.93889e-18
233	485  	0.037037 	0.037037 	0.037037   	6.93889e-18
234	487  	0.037037 	0.037037 	0.037037   	6.93889e-18
235	487  	0.037037 	0.037037 	0.037037   	6.93889e-18
236	489  	0.037037 	0.037037 	0.037037   	6.93889e-18
237	489  	0.037037 	0.037037 	0.037037   	6.93889e-18
238	489  	0.037037 	0.037037 	0.037037   	6.93889e-18
239	489  	0.037037 	0.037037 	0.037037   	6.93889e-18
240	491  	0.037037 	0.037037 	0.037037   	6.93889e-18
241	493  	0.037037 	0.037037 	0.037037   	6.93889e-18
242	493  	0.037037 	0.037037 	0.037037   	6.93889e-18
243	494  	0.037037 	0.037037 	0.037037   	6.93889e-18
244	494  	0.037037 	0.037037 	0.037037   	6.93889e-18
245	496  	0.037037 	0.037037 	0.037037   	6.93889e-18
246	498  	0.037037 	0.037037 	0.037037   	6.93889e-18
247	500  	0.037037 	0.037037 	0.037037   	6.93889e-18
248	502  	0.037037 	0.037037 	0.037037   	6.93889e-18
249	502  	0.037037 	0.037037 	0.037037   	6.93889e-18
250	502  	0.037037 	0.037037 	0.037037   	6.93889e-18
251	504  	0.037037 	0.037037 	0.037037   	6.93889e-18
252	508  	0.037037 	0.037037 	0.037037   	6.93889e-18
253	508  	0.037037 	0.037037 	0.037037   	6.93889e-18
254	508  	0.037037 	0.037037 	0.037037   	6.93889e-18
255	508  	0.037037 	0.037037 	0.037037   	6.93889e-18
256	508  	0.037037 	0.037037 	0.037037   	6.93889e-18
257	510  	0.037037 	0.037037 	0.037037   	6.93889e-18
258	512  	0.037037 	0.037037 	0.037037   	6.93889e-18
259	514  	0.037037 	0.037037 	0.037037   	6.93889e-18
260	514  	0.037037 	0.037037 	0.037037   	6.93889e-18
261	514  	0.037037 	0.037037 	0.037037   	6.93889e-18
262	514  	0.037037 	0.037037 	0.037037   	6.93889e-18
263	516  	0.037037 	0.037037 	0.037037   	6.93889e-18
264	516  	0.037037 	0.037037 	0.037037   	6.93889e-18
265	520  	0.037037 	0.037037 	0.037037   	6.93889e-18
266	522  	0.037037 	0.037037 	0.037037   	6.93889e-18
267	524  	0.037037 	0.037037 	0.037037   	6.93889e-18
268	526  	0.037037 	0.037037 	0.037037   	6.93889e-18
269	528  	0.037037 	0.037037 	0.037037   	6.93889e-18
270	530  	0.037037 	0.037037 	0.037037   	6.93889e-18
271	534  	0.037037 	0.037037 	0.037037   	6.93889e-18
272	534  	0.037037 	0.037037 	0.037037   	6.93889e-18
273	534  	0.037037 	0.037037 	0.037037   	6.93889e-18
274	538  	0.037037 	0.037037 	0.037037   	6.93889e-18
275	542  	0.037037 	0.037037 	0.037037   	6.93889e-18
276	542  	0.037037 	0.037037 	0.037037   	6.93889e-18
277	542  	0.037037 	0.037037 	0.037037   	6.93889e-18
278	542  	0.037037 	0.037037 	0.037037   	6.93889e-18
279	543  	0.037037 	0.037037 	0.037037   	6.93889e-18
280	545  	0.037037 	0.037037 	0.037037   	6.93889e-18
281	547  	0.037037 	0.037037 	0.037037   	6.93889e-18
282	549  	0.037037 	0.037037 	0.037037   	6.93889e-18
283	550  	0.037037 	0.037037 	0.037037   	6.93889e-18
284	552  	0.037037 	0.037037 	0.037037   	6.93889e-18
285	556  	0.037037 	0.037037 	0.037037   	6.93889e-18
286	558  	0.037037 	0.037037 	0.037037   	6.93889e-18
287	560  	0.037037 	0.037037 	0.037037   	6.93889e-18
288	560  	0.037037 	0.037037 	0.037037   	6.93889e-18
289	563  	0.037037 	0.037037 	0.037037   	6.93889e-18
290	565  	0.037037 	0.037037 	0.037037   	6.93889e-18
291	567  	0.037037 	0.037037 	0.037037   	6.93889e-18
292	569  	0.037037 	0.037037 	0.037037   	6.93889e-18
293	573  	0.037037 	0.037037 	0.037037   	6.93889e-18
294	574  	0.037037 	0.037037 	0.037037   	6.93889e-18
295	578  	0.037037 	0.037037 	0.037037   	6.93889e-18
296	578  	0.037037 	0.037037 	0.037037   	6.93889e-18
297	580  	0.037037 	0.037037 	0.037037   	6.93889e-18
298	580  	0.037037 	0.037037 	0.037037   	6.93889e-18
299	582  	0.037037 	0.037037 	0.037037   	6.93889e-18
300	582  	0.037037 	0.037037 	0.037037   	6.93889e-18
301	586  	0.037037 	0.037037 	0.037037   	6.93889e-18
302	588  	0.037037 	0.037037 	0.037037   	6.93889e-18
303	588  	0.037037 	0.037037 	0.037037   	6.93889e-18
304	588  	0.037037 	0.037037 	0.037037   	6.93889e-18
305	589  	0.037037 	0.037037 	0.037037   	6.93889e-18
306	593  	0.037037 	0.037037 	0.037037   	6.93889e-18
307	595  	0.037037 	0.037037 	0.037037   	6.93889e-18
308	595  	0.037037 	0.037037 	0.037037   	6.93889e-18
309	599  	0.037037 	0.037037 	0.037037   	6.93889e-18
310	601  	0.037037 	0.037037 	0.037037   	6.93889e-18
311	603  	0.037037 	0.037037 	0.037037   	6.93889e-18
312	605  	0.037037 	0.037037 	0.037037   	6.93889e-18
313	609  	0.037037 	0.037037 	0.037037   	6.93889e-18
314	611  	0.037037 	0.037037 	0.037037   	6.93889e-18
315	611  	0.037037 	0.037037 	0.037037   	6.93889e-18
316	615  	0.037037 	0.037037 	0.037037   	6.93889e-18
317	615  	0.037037 	0.037037 	0.037037   	6.93889e-18
318	617  	0.037037 	0.037037 	0.037037   	6.93889e-18
319	619  	0.037037 	0.037037 	0.037037   	6.93889e-18
320	621  	0.037037 	0.037037 	0.037037   	6.93889e-18
321	623  	0.037037 	0.037037 	0.037037   	6.93889e-18
322	625  	0.037037 	0.037037 	0.037037   	6.93889e-18
323	627  	0.037037 	0.037037 	0.037037   	6.93889e-18
324	629  	0.037037 	0.037037 	0.037037   	6.93889e-18
325	631  	0.037037 	0.037037 	0.037037   	6.93889e-18
326	633  	0.0366691	0.037037 	0.0370297  	5.15085e-05
327	633  	0.037037 	0.037037 	0.037037   	6.93889e-18
328	635  	0.037037 	0.037037 	0.037037   	6.93889e-18
329	637  	0.037037 	0.037037 	0.037037   	6.93889e-18
330	637  	0.037037 	0.037037 	0.037037   	6.93889e-18
331	639  	0.037037 	0.037037 	0.037037   	6.93889e-18
332	641  	0.037037 	0.037037 	0.037037   	6.93889e-18
333	643  	0.037037 	0.037037 	0.037037   	6.93889e-18
334	645  	0.037037 	0.037037 	0.037037   	6.93889e-18
335	649  	0.037037 	0.037037 	0.037037   	6.93889e-18
336	651  	0.037037 	0.037037 	0.037037   	6.93889e-18
337	651  	0.037037 	0.037037 	0.037037   	6.93889e-18
338	651  	0.037037 	0.037037 	0.037037   	6.93889e-18
339	655  	0.037037 	0.037037 	0.037037   	6.93889e-18
340	657  	0.037037 	0.037037 	0.037037   	6.93889e-18
341	659  	0.037037 	0.037037 	0.037037   	6.93889e-18
342	661  	0.037037 	0.037037 	0.037037   	6.93889e-18
343	663  	0.037037 	0.037037 	0.037037   	6.93889e-18
344	665  	0.037037 	0.037037 	0.037037   	6.93889e-18
345	665  	0.037037 	0.037037 	0.037037   	6.93889e-18
346	665  	0.037037 	0.037037 	0.037037   	6.93889e-18
347	665  	0.037037 	0.037037 	0.037037   	6.93889e-18
348	669  	0.037037 	0.037037 	0.037037   	6.93889e-18
349	669  	0.037037 	0.037037 	0.037037   	6.93889e-18
350	671  	0.037037 	0.0740741	0.0377778  	0.00518519 
351	671  	0.037037 	0.0740741	0.0377778  	0.00518519 
352	672  	0.037037 	0.0740741	0.0377778  	0.00518519 
353	675  	0.037037 	0.0740741	0.0385185  	0.00725775 
354	675  	0.037037 	0.0740741	0.0385185  	0.00725775 
355	675  	0.037037 	0.0740741	0.0388889  	0.00807204 
356	677  	0.037037 	0.0740741	0.0396296  	0.00944989 
357	681  	0.037037 	0.0740741	0.0407407  	0.0111111  
358	681  	0.037037 	0.0740741	0.0407407  	0.0111111  
359	684  	0.037037 	0.0740741	0.0418519  	0.0124557  
360	686  	0.037037 	0.0740741	0.042963   	0.013578   
361	688  	0.037037 	0.0740741	0.0433333  	0.0139123  
362	690  	0.037037 	0.0740741	0.0437037  	0.0142292  
363	692  	0.037037 	0.0740741	0.0444444  	0.0148148  
364	692  	0.037037 	0.0740741	0.0448148  	0.0150855  
365	692  	0.037037 	0.0740741	0.0448148  	0.0150855  
366	695  	0.037037 	0.0740741	0.0451852  	0.0153425  
367	697  	0.037037 	0.0740741	0.0459259  	0.0158179  
368	699  	0.037037 	0.0740741	0.0466667  	0.0162457  
369	701  	0.037037 	0.0740741	0.0474074  	0.0166296  
370	705  	0.037037 	0.0740741	0.0481481  	0.0169725  
371	706  	0.037037 	0.0740741	0.0485185  	0.0171294  
372	710  	0.037037 	0.0740741	0.0496296  	0.0175448  
373	713  	0.037037 	0.0747594	0.0500137  	0.0176845  
374	715  	0.037037 	0.0747594	0.0500137  	0.0176845  
375	717  	0.037037 	0.0747594	0.0500137  	0.0176845  
376	719  	0.037037 	0.0747594	0.0500137  	0.0176845  
377	719  	0.037037 	0.0747594	0.0507544  	0.0178998  
