Best Score: 0.07475943745373798
Best Individual: Individual('d', [0.7668480975912164, 0.49210547930345966, 1.9696971639644014, 300.0, 147.85497581209918, 3.237641075374124])

History: 
gen	evals	min      	max       	avg        	std        
0  	100  	0        	0         	0          	0          
1  	388  	0        	0         	0          	0          
2  	654  	0        	0         	0          	0          
3  	938  	0        	0         	0          	0          
4  	1216 	0        	0.013245  	0.00013245 	0.00131786 
5  	1492 	0        	0         	0          	0          
6  	1770 	0        	0.0397351 	0.000397351	0.00395359 
7  	2055 	0        	0.00662252	6.62252e-05	0.000658932
8  	2326 	0        	0         	0          	0          
9  	2608 	0        	0         	0          	0          
10 	2882 	0        	0.00662252	6.62252e-05	0.000658932
11 	3158 	0        	0         	0          	0          
12 	3433 	0        	0         	0          	0          
13 	3708 	0.037037 	0.037037  	0.037037   	6.93889e-18
14 	3989 	0.037037 	0.037037  	0.037037   	6.93889e-18
15 	4264 	0.037037 	0.0377498 	0.0370442  	7.09205e-05
16 	4546 	0.037037 	0.0377498 	0.0370442  	7.09205e-05
17 	4819 	0.037037 	0.037037  	0.037037   	6.93889e-18
18 	5109 	0.037037 	0.037037  	0.037037   	6.93889e-18
19 	5383 	0.037037 	0.037037  	0.037037   	6.93889e-18
20 	5660 	0.037037 	0.037037  	0.037037   	6.93889e-18
21 	5942 	0.037037 	0.037037  	0.037037   	6.93889e-18
22 	6218 	0.037037 	0.037037  	0.037037   	6.93889e-18
23 	6498 	0.037037 	0.037037  	0.037037   	6.93889e-18
24 	6784 	0.037037 	0.037037  	0.037037   	6.93889e-18
25 	7053 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
26 	7340 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
27 	7615 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
28 	7894 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
29 	8178 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
30 	8462 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
31 	8751 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
32 	9031 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
33 	9309 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
34 	9587 	0.0740741	0.0747594 	0.0740809  	6.81928e-05
35 	9863 	0.0740741	0.0740741 	0.0740741  	1.38778e-17
