Best Score: 0.07407407407407407
Best Individual: Individual('d', [0.40103702642516625, 1.024016874056776, 1.1522211850555484, 100.0, 100.0, 2.1133906600903627])

History: 
gen	evals	min      	max      	avg      	std        
0  	100  	0        	0        	0        	0          
1  	567  	0        	0        	0        	0          
2  	1031 	0        	0        	0        	0          
3  	1513 	0        	0        	0        	0          
4  	1977 	0        	0        	0        	0          
5  	2445 	0        	0        	0        	0          
6  	2916 	0        	0        	0        	0          
7  	3387 	0        	0        	0        	0          
8  	3862 	0.037037 	0.037037 	0.037037 	6.93889e-18
9  	4317 	0.037037 	0.037037 	0.037037 	6.93889e-18
10 	4787 	0.037037 	0.037037 	0.037037 	6.93889e-18
11 	5258 	0.037037 	0.037037 	0.037037 	6.93889e-18
12 	5718 	0.037037 	0.037037 	0.037037 	6.93889e-18
13 	6185 	0.037037 	0.037037 	0.037037 	6.93889e-18
14 	6641 	0.037037 	0.037037 	0.037037 	6.93889e-18
15 	7108 	0.037037 	0.037037 	0.037037 	6.93889e-18
16 	7579 	0.0740741	0.0740741	0.0740741	1.38778e-17
17 	8055 	0.0740741	0.0740741	0.0740741	1.38778e-17
18 	8518 	0.0740741	0.0740741	0.0740741	1.38778e-17
19 	8981 	0.0740741	0.0740741	0.0740741	1.38778e-17
20 	9451 	0.0740741	0.0740741	0.0740741	1.38778e-17
21 	9916 	0.0740741	0.0740741	0.0740741	1.38778e-17
