Best Score: 0.07407407407407407
Best Individual: Individual('d', [1.3095014515552679, 1.2781949822647851, 0.8544668047465591, 100.0, 100.0, 4.186429111345068])

History: 
gen	evals	min      	max      	avg        	std        
0  	100  	0        	0.0264901	0.000264901	0.00263573 
1  	753  	0        	0.013245 	0.00013245 	0.00131786 
2  	1396 	0        	0.013245 	0.00013245 	0.00131786 
3  	2038 	0        	0        	0          	0          
4  	2684 	0        	0        	0          	0          
5  	3315 	0        	0        	0          	0          
6  	3962 	0        	0        	0          	0          
7  	4618 	0.037037 	0.037037 	0.037037   	6.93889e-18
8  	5275 	0.037037 	0.037037 	0.037037   	6.93889e-18
9  	5931 	0.037037 	0.0377498	0.0370442  	7.09205e-05
10 	6583 	0.037037 	0.037037 	0.037037   	6.93889e-18
11 	7242 	0.037037 	0.037037 	0.037037   	6.93889e-18
12 	7879 	0.0740741	0.0740741	0.0740741  	1.38778e-17
13 	8538 	0.0740741	0.0740741	0.0740741  	1.38778e-17
14 	9177 	0.0740741	0.0740741	0.0740741  	1.38778e-17
15 	9825 	0.0740741	0.0740741	0.0740741  	1.38778e-17
