Best Score: 0.07407407407407407
Best Individual: Individual('d', [0.1885637818285411, 1.1981231726846817, 1.0240206490988122, 300.0, 100.0, 1.3318518880616637])

History: 
gen	evals	min      	max      	avg      	std        
0  	100  	0        	0        	0        	0          
1  	207  	0        	0        	0        	0          
2  	300  	0        	0        	0        	0          
3  	386  	0        	0        	0        	0          
4  	476  	0        	0        	0        	0          
5  	561  	0        	0        	0        	0          
6  	649  	0        	0        	0        	0          
7  	748  	0        	0        	0        	0          
8  	827  	0        	0        	0        	0          
9  	919  	0        	0        	0        	0          
10 	1017 	0        	0        	0        	0          
11 	1110 	0        	0        	0        	0          
12 	1197 	0        	0        	0        	0          
13 	1291 	0        	0        	0        	0          
14 	1375 	0        	0        	0        	0          
15 	1462 	0        	0        	0        	0          
16 	1558 	0        	0        	0        	0          
17 	1649 	0        	0        	0        	0          
18 	1741 	0        	0        	0        	0          
19 	1824 	0        	0        	0        	0          
20 	1925 	0        	0        	0        	0          
21 	2034 	0        	0        	0        	0          
22 	2130 	0        	0        	0        	0          
23 	2225 	0        	0        	0        	0          
24 	2324 	0        	0        	0        	0          
25 	2414 	0        	0        	0        	0          
26 	2493 	0        	0        	0        	0          
27 	2579 	0        	0        	0        	0          
28 	2688 	0        	0        	0        	0          
29 	2792 	0        	0        	0        	0          
30 	2876 	0        	0        	0        	0          
31 	2985 	0        	0        	0        	0          
32 	3088 	0        	0        	0        	0          
33 	3182 	0        	0        	0        	0          
34 	3280 	0        	0        	0        	0          
35 	3380 	0        	0        	0        	0          
36 	3467 	0        	0.037037 	0.0310069	0.0127562  
37 	3544 	0.037037 	0.037037 	0.037037 	6.93889e-18
38 	3641 	0.037037 	0.037037 	0.037037 	6.93889e-18
39 	3732 	0.037037 	0.037037 	0.037037 	6.93889e-18
40 	3809 	0.037037 	0.037037 	0.037037 	6.93889e-18
41 	3913 	0.037037 	0.037037 	0.037037 	6.93889e-18
42 	4000 	0.037037 	0.037037 	0.037037 	6.93889e-18
43 	4094 	0.037037 	0.037037 	0.037037 	6.93889e-18
44 	4165 	0.037037 	0.037037 	0.037037 	6.93889e-18
45 	4272 	0.037037 	0.037037 	0.037037 	6.93889e-18
46 	4363 	0.037037 	0.037037 	0.037037 	6.93889e-18
47 	4436 	0.037037 	0.037037 	0.037037 	6.93889e-18
48 	4517 	0.037037 	0.037037 	0.037037 	6.93889e-18
49 	4611 	0.037037 	0.037037 	0.037037 	6.93889e-18
50 	4704 	0.037037 	0.037037 	0.037037 	6.93889e-18
51 	4813 	0.037037 	0.037037 	0.037037 	6.93889e-18
52 	4914 	0.037037 	0.037037 	0.037037 	6.93889e-18
53 	5017 	0.037037 	0.037037 	0.037037 	6.93889e-18
54 	5102 	0.037037 	0.037037 	0.037037 	6.93889e-18
55 	5209 	0.037037 	0.037037 	0.037037 	6.93889e-18
56 	5302 	0.037037 	0.037037 	0.037037 	6.93889e-18
57 	5405 	0.037037 	0.037037 	0.037037 	6.93889e-18
58 	5510 	0.037037 	0.037037 	0.037037 	6.93889e-18
59 	5595 	0.037037 	0.037037 	0.037037 	6.93889e-18
60 	5700 	0.037037 	0.037037 	0.037037 	6.93889e-18
61 	5780 	0.037037 	0.037037 	0.037037 	6.93889e-18
62 	5879 	0.037037 	0.037037 	0.037037 	6.93889e-18
63 	5974 	0.037037 	0.037037 	0.037037 	6.93889e-18
64 	6064 	0.037037 	0.037037 	0.037037 	6.93889e-18
65 	6152 	0.037037 	0.037037 	0.037037 	6.93889e-18
66 	6251 	0.037037 	0.037037 	0.037037 	6.93889e-18
67 	6347 	0.037037 	0.037037 	0.037037 	6.93889e-18
68 	6442 	0.037037 	0.037037 	0.037037 	6.93889e-18
69 	6536 	0.037037 	0.037037 	0.037037 	6.93889e-18
70 	6629 	0.037037 	0.037037 	0.037037 	6.93889e-18
71 	6715 	0.037037 	0.037037 	0.037037 	6.93889e-18
72 	6805 	0.037037 	0.0740741	0.0703704	0.0111111  
