Best Score: 0.08131352619233775
Best Individual: Individual('d', [1.5818627904078295, 0.476525122736921, 2.0, 107.48622707206073, 107.48622707206073, 5.0])

History: 
gen	evals	min       	max       	avg        	std        
0  	100  	0         	0         	0          	0          
1  	351  	0         	0         	0          	0          
2  	619  	0         	0         	0          	0          
3  	872  	0         	0.00662252	0.00013245 	0.000927152
4  	1152 	0         	0.00662252	0.000596026	0.00189524 
5  	1452 	0         	0.013245  	0.00437086 	0.00340529 
6  	1725 	0.00662252	0.013245  	0.00741722 	0.00215206 
7  	1994 	0.00662252	0.013245  	0.0121192  	0.00248763 
8  	2245 	0.013245  	0.013245  	0.013245   	5.20417e-18
9  	2510 	0.013245  	0.013245  	0.013245   	5.20417e-18
10 	2782 	0.013245  	0.0596026 	0.0139073  	0.00482126 
11 	3046 	0.013245  	0.0596026 	0.0190728  	0.0126793  
12 	3316 	0.0264901 	0.0596026 	0.0433775  	0.016553   
13 	3589 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
14 	3849 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
15 	4117 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
16 	4371 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
17 	4637 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
18 	4933 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
19 	5193 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
20 	5493 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
21 	5775 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
22 	6046 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
23 	6293 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
24 	6568 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
25 	6826 	0.0596026 	0.0596026 	0.0596026  	1.38778e-17
26 	7128 	0.0740741 	0.0747594 	0.0740946  	0.000116914
27 	7388 	0.0740741 	0.075453  	0.0741975  	0.000280945
28 	7670 	0.0747594 	0.0761548 	0.0748635  	0.000266756
29 	7948 	0.075453  	0.0761548 	0.0755653  	0.000257299
30 	8223 	0.0761548 	0.0761548 	0.0761548  	1.38778e-17
31 	8492 	0.0761548 	0.077584  	0.0761762  	0.000158159
32 	8772 	0.0761548 	0.077584  	0.0762832  	0.00036926 
33 	9046 	0.0761548 	0.077584  	0.077082   	0.000501007
34 	9344 	0.077584  	0.0813135 	0.0776286  	0.00037736 
