Best Score: 0.08131352619233775
Best Individual: Individual('d', [1.6075166383953816, 0.35321763873175777, 2.0, 154.0437861198712, 154.0437861198712, 5.0])

History: 
gen	evals	min      	max       	avg        	std        
0  	100  	0        	0         	0          	0          
1  	198  	0        	0         	0          	0          
2  	296  	0        	0.00662252	6.62252e-05	0.000658932
3  	394  	0        	0.00662252	0.00013245 	0.000927152
4  	492  	0        	0.00662252	0.000264901	0.00129774 
5  	590  	0        	0.013245  	0.000331126	0.00172058 
6  	688  	0        	0.0198675 	0.000463576	0.00252265 
7  	786  	0        	0.0596026 	0.00211921 	0.00917069 
8  	884  	0        	0.0596026 	0.00258278 	0.00931376 
9  	982  	0        	0.0596026 	0.0015894  	0.00848716 
10 	1080 	0        	0.0596026 	0.00192053 	0.00914267 
11 	1178 	0        	0.0596026 	0.00178808 	0.00847346 
12 	1276 	0        	0.0596026 	0.00198675 	0.0091525  
13 	1374 	0        	0.0596026 	0.00145695 	0.00871459 
14 	1472 	0        	0.0596026 	0.00152318 	0.00847346 
15 	1570 	0        	0.0596026 	0.00139073 	0.00854767 
16 	1668 	0        	0.0596026 	0.00139073 	0.00839233 
17 	1766 	0        	0.0596026 	0.00119205 	0.00834437 
18 	1864 	0        	0.0596026 	0.0013245  	0.00837689 
19 	1962 	0        	0.0596026 	0.00139073 	0.00839233 
20 	2060 	0        	0.0596026 	0.00271523 	0.00960128 
21 	2158 	0        	0.0596026 	0.00529801 	0.00995583 
22 	2256 	0        	0.0596026 	0.00119205 	0.00834437 
23 	2354 	0        	0.0596026 	0.00119205 	0.00834437 
24 	2452 	0        	0.0596026 	0.00125828 	0.00836091 
25 	2550 	0        	0.0596026 	0.00211921 	0.00852635 
26 	2648 	0        	0.0596026 	0.00125828 	0.00836091 
27 	2746 	0        	0.0596026 	0.00119205 	0.00834437 
28 	2844 	0        	0.0596026 	0.00125828 	0.00836091 
29 	2942 	0        	0.0596026 	0.00119205 	0.00834437 
30 	3040 	0        	0.0596026 	0.00145695 	0.00856228 
31 	3138 	0        	0.0596026 	0.00119205 	0.00834437 
32 	3236 	0        	0.0596026 	0.00119205 	0.00834437 
33 	3334 	0        	0.0596026 	0.00119205 	0.00834437 
34 	3432 	0.037037 	0.0596026 	0.0374955  	0.00315896 
35 	3530 	0.037037 	0.0596026 	0.0375249  	0.00317481 
36 	3628 	0.037037 	0.0596026 	0.0375668  	0.00315586 
37 	3726 	0.037037 	0.0596026 	0.0374883  	0.00315919 
38 	3824 	0.0202355	0.0596026 	0.0373275  	0.00359552 
39 	3922 	0.0185185	0.0596026 	0.0371928  	0.00384805 
40 	4020 	0.037037 	0.0596026 	0.0374955  	0.00315896 
41 	4118 	0.037037 	0.0596026 	0.0375557  	0.00322003 
42 	4216 	0.037037 	0.0596026 	0.0374955  	0.00315896 
43 	4314 	0.037037 	0.0596026 	0.0374883  	0.00315919 
44 	4412 	0.037037 	0.0596026 	0.0374883  	0.00315919 
45 	4510 	0.0339711	0.0596026 	0.0376114  	0.00324909 
46 	4608 	0.037037 	0.0596026 	0.0374883  	0.00315919 
47 	4706 	0.029924 	0.0596026 	0.037445   	0.003257   
48 	4804 	0.037037 	0.0596026 	0.0375465  	0.00317878 
49 	4902 	0.037037 	0.0596026 	0.0374883  	0.00315919 
50 	5000 	0.037037 	0.0596026 	0.0374883  	0.00315919 
51 	5098 	0.037037 	0.0596026 	0.0374883  	0.00315919 
